		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW			Rain	Heat	Cool	In 	In	In 	In 	In 	In Air	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	Samp	Tx 	Recept	Int.
08/19/23	12:15 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1011.7	0.00	0.0	---	---	28.8	79	24.8	34.2	15.47	1.1319	0	1	0.0	15
08/19/23	12:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1011.6	0.00	0.0	---	---	28.7	78	24.4	33.7	15.18	1.1329	0	1	0.0	15
08/19/23	12:45 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1011.3	0.00	0.0	---	---	28.4	78	24.2	33.1	15.19	1.1339	0	1	0.0	15
08/19/23	1:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1011.1	0.00	0.0	---	---	28.6	80	24.8	33.8	15.81	1.1321	0	1	0.0	15
08/19/23	1:15 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1010.8	0.00	0.0	---	---	28.7	81	25.1	34.3	16.21	1.1307	0	1	0.0	15
08/19/23	1:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1010.6	0.00	0.0	---	---	28.7	81	25.1	34.3	16.21	1.1304	0	1	0.0	15
08/19/23	1:45 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1010.4	0.00	0.0	---	---	28.7	81	25.1	34.3	16.21	1.1302	0	1	0.0	15
08/19/23	2:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1010.4	0.00	0.0	---	---	28.7	81	25.1	34.3	16.21	1.1302	0	1	0.0	15
08/19/23	2:15 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1010.2	0.00	0.0	---	---	28.8	81	25.2	34.6	16.20	1.1292	0	1	0.0	15
08/19/23	2:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1010.0	0.00	0.0	---	---	28.7	81	25.1	34.3	16.21	1.1297	0	1	0.0	15
08/19/23	2:45 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1009.9	0.00	0.0	---	---	28.7	82	25.3	34.4	16.58	1.1292	0	1	0.0	15
08/19/23	3:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1009.8	0.00	0.0	---	---	28.7	82	25.3	34.4	16.58	1.1290	0	1	0.0	15
08/19/23	3:15 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1009.6	0.00	0.0	---	---	28.6	82	25.2	34.1	16.58	1.1294	0	1	0.0	15
08/19/23	3:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1009.4	0.00	0.0	---	---	28.7	82	25.3	34.4	16.58	1.1285	0	1	0.0	15
08/19/23	3:45 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1009.4	0.00	0.0	---	---	28.6	82	25.2	34.1	16.58	1.1292	0	1	0.0	15
08/19/23	4:00 a	---	---	---	---	---	3.6	ENE	3.22	6.3	ENE	---	---	---	1009.2	0.00	0.0	---	---	28.4	81	24.9	33.6	16.22	1.1301	92	1	26.9	15
08/19/23	4:15 a	---	---	---	---	---	3.6	ENE	3.22	6.3	ENE	---	---	---	1009.3	0.00	0.0	---	---	28.4	82	25.1	33.8	16.59	1.1297	198	1	57.9	15
08/19/23	4:30 a	---	---	---	---	---	3.6	ENE	3.22	5.8	ENE	---	---	---	1009.2	0.00	0.0	---	---	28.4	82	25.1	33.8	16.59	1.1296	186	1	54.4	15
08/19/23	4:45 a	---	---	---	---	---	3.1	NNE	2.82	6.7	NE	---	---	---	1008.9	0.00	0.0	---	---	28.4	82	25.1	33.8	16.59	1.1293	180	1	52.6	15
08/19/23	5:00 a	---	---	---	---	---	4.0	NE	3.62	7.2	ENE	---	---	---	1008.9	0.00	0.0	---	---	28.4	82	25.1	33.8	16.59	1.1293	179	1	52.3	15
08/19/23	5:15 a	---	---	---	---	---	4.0	NNE	3.62	7.2	NE	---	---	---	1008.9	0.00	0.0	---	---	28.4	83	25.3	33.9	16.92	1.1289	184	1	53.8	15
08/19/23	5:30 a	---	---	---	---	---	2.7	NNE	2.41	6.7	NE	---	---	---	1009.0	0.00	0.0	---	---	28.3	83	25.2	33.6	16.93	1.1297	181	1	52.9	15
08/19/23	5:45 a	---	---	---	---	---	3.6	NNE	3.22	6.3	ENE	---	---	---	1009.1	0.00	0.0	---	---	28.3	83	25.2	33.6	16.93	1.1298	178	1	52.0	15
08/19/23	6:00 a	---	---	---	---	---	4.0	NE	3.62	6.7	ENE	---	---	---	1009.2	0.00	0.0	---	---	28.3	83	25.2	33.6	16.93	1.1299	178	1	52.0	15
08/19/23	6:15 a	---	---	---	---	---	4.5	NE	4.02	7.2	ENE	---	---	---	1009.4	0.00	0.0	---	---	28.3	83	25.2	33.6	16.93	1.1300	164	1	48.0	15
08/19/23	6:30 a	---	---	---	---	---	4.0	NE	3.62	6.7	NE	---	---	---	1009.5	0.00	0.0	---	---	28.3	83	25.2	33.6	16.93	1.1302	145	1	42.4	15
08/19/23	6:45 a	---	---	---	---	---	4.5	NNE	4.02	7.2	ENE	---	---	---	1009.6	0.00	0.0	---	---	28.3	83	25.2	33.6	16.93	1.1303	138	1	40.4	15
08/19/23	7:00 a	---	---	---	---	---	4.5	NE	4.02	7.6	ENE	---	---	---	1009.9	0.00	0.0	---	---	28.4	83	25.3	33.9	16.92	1.1300	111	1	32.5	15
08/19/23	7:15 a	---	---	---	---	---	3.6	NE	3.22	7.2	NE	---	---	---	1010.0	0.00	0.0	---	---	28.6	83	25.4	34.3	16.91	1.1294	94	1	27.5	15
08/19/23	7:30 a	---	---	---	---	---	4.5	ENE	4.02	6.7	ENE	---	---	---	1010.2	0.00	0.0	---	---	29.2	82	25.8	35.8	16.56	1.1262	26	1	7.6	15
08/19/23	7:45 a	---	---	---	---	---	4.5	ENE	4.02	6.7	NE	---	---	---	1010.3	0.00	0.0	---	---	28.8	83	25.6	34.9	16.90	1.1284	56	1	16.4	15
08/19/23	8:00 a	---	---	---	---	---	4.9	ENE	4.43	7.2	ENE	---	---	---	1010.2	0.00	0.0	---	---	28.8	83	25.6	34.9	16.90	1.1284	68	1	19.9	15
08/19/23	8:15 a	---	---	---	---	---	5.4	ENE	4.83	7.6	NE	---	---	---	1010.3	0.00	0.0	---	---	29.0	84	26.0	35.7	17.28	1.1267	65	1	19.0	15
08/19/23	8:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1010.5	0.00	0.0	---	---	29.8	83	26.6	37.3	16.83	1.1228	0	1	0.0	15
08/19/23	8:45 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1010.5	0.00	0.0	---	---	29.9	82	26.5	37.3	16.52	1.1226	0	1	0.0	15
08/19/23	9:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1010.7	0.00	0.0	---	---	30.2	81	26.6	38.2	16.09	1.1213	0	1	0.0	15
08/19/23	9:15 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1010.6	0.00	0.0	---	---	30.2	81	26.6	38.2	16.09	1.1211	0	1	0.0	15
08/19/23	9:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1010.7	0.00	0.0	---	---	30.3	81	26.7	38.6	16.09	1.1206	0	1	0.0	15
08/19/23	9:45 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1010.8	0.00	0.0	---	---	30.3	80	26.5	38.2	15.69	1.1213	0	1	0.0	15
08/19/23	10:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1010.9	0.00	0.0	---	---	30.6	79	26.5	38.7	15.33	1.1205	0	1	0.0	15
08/19/23	10:15 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1011.2	0.00	0.0	---	---	30.8	78	26.5	38.8	14.96	1.1201	0	1	0.0	15
08/19/23	10:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1011.2	0.00	0.0	---	---	30.9	79	26.8	39.4	15.29	1.1189	0	1	0.0	15
08/19/23	10:45 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1011.1	0.00	0.0	---	---	31.3	78	27.0	40.3	14.89	1.1170	0	1	0.0	15
08/19/23	11:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1011.1	0.00	0.0	---	---	31.5	77	27.0	40.9	14.63	1.1162	0	1	0.0	15
08/19/23	11:15 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1011.0	0.00	0.0	---	---	31.6	76	26.9	41.0	14.32	1.1159	0	1	0.0	15
08/19/23	11:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1011.0	0.00	0.0	---	---	31.7	77	27.2	41.9	14.60	1.1147	0	1	0.0	15
08/19/23	11:45 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1010.8	0.00	0.0	---	---	31.7	77	27.2	41.9	14.60	1.1145	0	1	0.0	15
08/19/23	12:00 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1010.8	0.00	0.0	---	---	31.8	76	27.1	41.9	14.29	1.1144	0	1	0.0	15
08/19/23	12:15 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1010.6	0.00	0.0	---	---	32.1	75	27.1	42.3	14.06	1.1133	0	1	0.0	15
08/19/23	12:30 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1010.4	0.00	0.0	---	---	32.3	75	27.3	43.4	14.05	1.1115	0	1	0.0	15
08/19/23	12:45 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1010.3	0.00	0.0	---	---	32.3	75	27.3	43.4	14.05	1.1113	0	1	0.0	15
08/19/23	1:00 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1010.1	0.00	0.0	---	---	32.6	74	27.3	43.9	13.74	1.1104	0	1	0.0	15
08/19/23	1:15 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1009.9	0.00	0.0	---	---	32.7	74	27.4	44.3	13.73	1.1094	0	1	0.0	15
08/19/23	1:30 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1009.5	0.00	0.0	---	---	32.8	73	27.3	44.2	13.41	1.1088	0	1	0.0	15
08/19/23	1:45 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1009.2	0.00	0.0	---	---	32.7	74	27.4	44.3	13.73	1.1087	0	1	0.0	15
08/19/23	2:00 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1008.9	0.00	0.0	---	---	32.8	74	27.5	44.7	13.73	1.1077	0	1	0.0	15
08/19/23	2:15 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1008.8	0.00	0.0	---	---	33.2	73	27.7	45.8	13.38	1.1058	0	1	0.0	15
08/19/23	2:30 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1008.6	0.00	0.0	---	---	33.4	71	27.4	45.4	12.81	1.1054	0	1	0.0	15
08/19/23	2:45 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1008.8	0.00	0.0	---	---	33.6	71	27.6	46.1	12.80	1.1046	0	1	0.0	15
08/19/23	3:00 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1008.8	0.00	0.0	---	---	33.4	71	27.4	45.4	12.81	1.1057	0	1	0.0	15
08/19/23	3:15 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1008.8	0.00	0.0	---	---	33.7	70	27.4	45.7	12.50	1.1045	0	1	0.0	15
08/19/23	3:30 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1008.6	0.00	0.0	---	---	34.2	69	27.7	47.1	12.28	1.1020	0	1	0.0	15
08/19/23	3:45 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1008.5	0.00	0.0	---	---	34.2	68	27.4	46.6	12.05	1.1024	0	1	0.0	15
08/19/23	4:00 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1008.4	0.00	0.0	---	---	34.4	68	27.6	47.4	12.05	1.1011	0	1	0.0	15
08/19/23	4:15 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1008.4	0.00	0.0	---	---	34.3	68	27.5	46.9	12.05	1.1017	0	1	0.0	15
08/19/23	4:30 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1008.3	0.00	0.0	---	---	33.8	69	27.3	45.7	12.29	1.1039	0	1	0.0	15
08/19/23	4:45 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1008.3	0.00	0.0	---	---	33.6	70	27.3	45.4	12.50	1.1046	0	1	0.0	15
08/19/23	5:00 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1008.2	0.00	0.0	---	---	33.7	69	27.2	45.3	12.30	1.1045	0	1	0.0	15
08/19/23	5:15 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1008.0	0.00	0.0	---	---	33.7	69	27.2	45.3	12.30	1.1043	0	1	0.0	15
08/19/23	5:30 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1008.0	0.00	0.0	---	---	33.7	69	27.2	45.3	12.30	1.1042	0	1	0.0	15
08/19/23	5:45 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1008.1	0.00	0.0	---	---	33.8	69	27.3	45.7	12.29	1.1037	0	1	0.0	15
08/19/23	6:00 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1008.0	0.00	0.0	---	---	35.4	65	27.8	49.4	11.42	1.0966	0	1	0.0	15
08/19/23	6:15 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1007.9	0.00	0.0	---	---	34.4	67	27.4	46.9	11.85	1.1011	0	1	0.0	15
08/19/23	6:30 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1008.0	0.00	0.0	---	---	33.4	70	27.2	44.8	12.51	1.1053	0	1	0.0	15
08/19/23	6:45 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1008.0	0.00	0.0	---	---	32.8	71	26.8	43.3	12.83	1.1083	0	1	0.0	15
08/19/23	7:00 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1008.2	0.00	0.0	---	---	32.4	72	26.7	42.6	13.13	1.1099	0	1	0.0	15
08/19/23	7:15 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1008.4	0.00	0.0	---	---	32.2	72	26.5	41.8	13.15	1.1114	0	1	0.0	15
08/19/23	7:30 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1008.6	0.00	0.0	---	---	31.9	73	26.5	41.2	13.46	1.1128	0	1	0.0	15
08/19/23	7:45 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1008.8	0.00	0.0	---	---	32.1	73	26.6	41.6	13.46	1.1124	0	1	0.0	15
08/19/23	8:00 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1009.0	0.00	0.0	---	---	31.7	74	26.5	40.7	13.77	1.1141	0	1	0.0	15
08/19/23	8:15 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1009.2	0.00	0.0	---	---	31.6	74	26.4	40.3	13.77	1.1149	0	1	0.0	15
08/19/23	8:30 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1009.4	0.00	0.0	---	---	31.6	74	26.4	40.3	13.77	1.1151	0	1	0.0	15
08/19/23	8:45 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1009.5	0.00	0.0	---	---	31.5	74	26.3	39.8	13.78	1.1158	0	1	0.0	15
08/19/23	9:00 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1009.7	0.00	0.0	---	---	31.5	74	26.3	39.8	13.78	1.1161	0	1	0.0	15
08/19/23	9:15 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1009.7	0.00	0.0	---	---	31.5	75	26.5	40.2	14.10	1.1156	0	1	0.0	15
08/19/23	9:30 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1009.7	0.00	0.0	---	---	31.6	75	26.6	40.6	14.09	1.1149	0	1	0.0	15
08/19/23	9:45 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1009.8	0.00	0.0	---	---	31.6	75	26.6	40.6	14.09	1.1150	0	1	0.0	15
08/19/23	10:00 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1010.0	0.00	0.0	---	---	31.6	75	26.6	40.6	14.09	1.1153	0	1	0.0	15
08/19/23	10:15 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1010.0	0.00	0.0	---	---	31.4	75	26.4	39.7	14.11	1.1166	0	1	0.0	15
08/19/23	10:30 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1010.0	0.00	0.0	---	---	31.4	76	26.6	40.1	14.34	1.1161	0	1	0.0	15
08/19/23	10:45 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1009.9	0.00	0.0	---	---	31.4	76	26.6	40.1	14.34	1.1160	0	1	0.0	15
08/19/23	11:00 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1009.7	0.00	0.0	---	---	31.3	74	26.1	38.9	13.78	1.1175	0	1	0.0	15
08/19/23	11:15 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1009.9	0.00	0.0	---	---	31.2	75	26.2	38.8	14.13	1.1178	0	1	0.0	15
08/19/23	11:30 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1009.8	0.00	0.0	---	---	31.3	74	26.1	38.9	13.78	1.1175	0	1	0.0	15
08/19/23	11:45 p	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1009.7	0.00	0.0	---	---	31.2	73	25.7	38.2	13.49	1.1186	0	1	0.0	15
08/20/23	12:00 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1009.7	0.00	0.0	---	---	30.9	74	25.7	37.9	13.80	1.1197	0	1	0.0	15
08/20/23	12:15 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1009.4	0.00	0.0	---	---	30.6	76	25.8	37.8	14.43	1.1203	0	1	0.0	15
08/20/23	12:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1009.4	0.00	0.0	---	---	30.6	76	25.8	37.8	14.43	1.1203	0	1	0.0	15
08/20/23	12:45 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1009.4	0.00	0.0	---	---	30.6	76	25.8	37.8	14.43	1.1203	0	1	0.0	15
08/20/23	1:00 a	---	---	---	---	---	2.2	SW	2.01	4.5	SW	---	---	---	1009.7	0.00	0.0	---	---	30.4	76	25.7	37.6	14.44	1.1213	77	1	22.5	15
08/20/23	1:15 a	---	---	---	---	---	2.2	SSW	2.01	5.4	NE	---	---	---	1009.2	0.00	0.0	---	---	30.4	77	26.0	37.8	14.74	1.1203	99	1	28.9	15
08/20/23	1:30 a	---	---	---	---	---	2.2	SW	2.01	5.4	NW	---	---	---	1009.4	0.00	0.0	---	---	30.3	77	25.8	37.4	14.75	1.1211	116	1	33.9	15
08/20/23	1:45 a	---	---	---	---	---	2.2	SSW	2.01	5.4	SSW	---	---	---	1008.9	0.25	0.0	---	---	30.2	78	26.0	37.4	15.04	1.1208	129	1	37.7	15
08/20/23	2:00 a	---	---	---	---	---	2.7	SSW	2.41	7.2	ENE	---	---	---	1008.6	0.00	0.0	---	---	30.1	78	25.8	37.1	15.05	1.1210	121	1	35.4	15
08/20/23	2:15 a	---	---	---	---	---	8.5	NE	7.64	18.3	ENE	---	---	---	1008.3	0.25	0.0	---	---	29.9	78	25.6	36.4	15.09	1.1220	139	1	40.6	15
08/20/23	2:30 a	---	---	---	---	---	9.8	NE	8.85	17.9	NE	---	---	---	1008.3	1.27	14.7	---	---	29.7	78	25.4	35.9	15.12	1.1233	133	1	38.9	15
08/20/23	2:45 a	---	---	---	---	---	4.9	NNW	4.43	13.0	NNE	---	---	---	1008.3	0.25	4.6	---	---	29.4	77	25.0	35.2	14.85	1.1251	144	1	42.1	15
08/20/23	3:00 a	---	---	---	---	---	4.0	SW	3.62	8.5	N	---	---	---	1008.2	0.51	1.8	---	---	29.3	76	24.7	34.8	14.55	1.1261	136	1	39.8	15
08/20/23	3:15 a	---	---	---	---	---	5.4	NNE	4.83	11.2	ENE	---	---	---	1008.5	0.25	1.8	---	---	29.4	77	25.0	35.2	14.85	1.1253	161	1	47.1	15
08/20/23	3:30 a	---	---	---	---	---	5.8	NNE	5.23	8.9	NE	---	---	---	1008.2	0.00	0.0	---	---	29.4	77	25.0	35.2	14.85	1.1249	128	1	37.4	15
08/20/23	3:45 a	---	---	---	---	---	4.9	NNE	4.43	10.7	ENE	---	---	---	1007.6	0.00	0.0	---	---	29.4	77	25.0	35.2	14.85	1.1243	137	1	40.1	15
08/20/23	4:00 a	---	---	---	---	---	3.1	NNE	2.82	6.7	NE	---	---	---	1007.3	0.00	0.0	---	---	29.4	78	25.2	35.4	15.15	1.1234	147	1	43.0	15
08/20/23	4:15 a	---	---	---	---	---	2.2	NNE	2.01	7.2	NE	---	---	---	1007.5	0.00	0.0	---	---	29.4	78	25.2	35.4	15.15	1.1237	156	1	45.6	15
08/20/23	4:30 a	---	---	---	---	---	2.2	NNE	2.01	5.8	N	---	---	---	1007.5	0.00	0.0	---	---	29.4	78	25.2	35.4	15.15	1.1236	161	1	47.1	15
08/20/23	4:45 a	---	---	---	---	---	4.0	NE	3.62	7.6	NNE	---	---	---	1007.5	0.00	0.0	---	---	29.4	78	25.2	35.4	15.15	1.1236	153	1	44.7	15
08/20/23	5:00 a	---	---	---	---	---	4.9	NNE	4.43	8.9	N	---	---	---	1007.9	0.00	0.0	---	---	29.4	78	25.2	35.4	15.15	1.1241	166	1	48.5	15
08/20/23	5:15 a	---	-67.8	-67.8	---	---	3.1	SSW	2.82	10.7	NE	---	---	---	1008.3	0.00	0.0	---	---	29.4	79	25.4	35.6	15.45	1.1241	166	1	48.5	15
08/20/23	5:30 a	---	-67.8	-67.8	---	---	2.2	SW	2.01	5.8	E	---	---	---	1008.4	0.00	0.0	---	---	29.4	79	25.4	35.6	15.45	1.1243	157	1	45.9	15
08/20/23	5:45 a	---	---	---	---	---	2.7	NNE	2.41	7.6	NE	---	---	---	1008.4	0.00	0.0	---	---	29.4	79	25.4	35.6	15.45	1.1243	147	1	43.0	15
08/20/23	6:00 a	---	---	---	---	---	2.7	NNE	2.41	6.3	ENE	---	---	---	1008.2	0.00	0.0	---	---	29.4	79	25.4	35.6	15.45	1.1240	135	1	39.5	15
08/20/23	6:15 a	---	---	---	---	---	2.7	NNE	2.41	6.3	N	---	---	---	1008.3	0.00	0.0	---	---	29.4	79	25.4	35.6	15.45	1.1241	138	1	40.4	15
08/20/23	6:30 a	---	---	---	---	---	3.1	NNE	2.82	6.7	NNE	---	---	---	1008.2	0.00	0.0	---	---	29.4	79	25.4	35.6	15.45	1.1240	113	1	33.0	15
08/20/23	6:45 a	---	---	---	---	---	2.7	NNE	2.41	5.4	N	---	---	---	1008.1	0.00	0.0	---	---	29.6	79	25.5	35.8	15.44	1.1233	98	1	28.7	15
08/20/23	7:00 a	---	---	---	---	---	2.7	NE	2.41	5.8	E	---	---	---	1008.1	0.00	0.0	---	---	29.6	79	25.5	35.8	15.44	1.1232	91	1	26.6	15
08/20/23	7:15 a	---	---	---	---	---	4.0	ENE	3.62	5.8	ENE	---	---	---	1008.1	0.00	0.0	---	---	29.8	79	25.7	36.4	15.41	1.1219	26	1	7.6	15
08/20/23	7:30 a	---	---	---	---	---	0.0	---	0.00	0.0	---	---	---	---	1008.4	0.00	0.0	---	---	29.8	80	26.0	36.6	15.73	1.1217	0	1	0.0	15
